PV_worst, WT_worst, load_worst
1.69,139.24,393.82
1.69,139.85,389.53
1.69,140.46,383.72
1.69,141.07,379.92
1.69,141.58,377.38
2.03,142.13,373.23
2.03,142.68,370.10
2.03,143.23,370.24
2.03,143.67,368.51
2.03,143.49,365.16
2.37,143.31,366.34
2.37,143.13,364.24
2.37,142.98,361.16
2.37,140.01,380.13
2.37,137.05,359.85
2.71,134.09,360.83
2.71,131.20,360.08
2.71,129.63,378.06
2.71,128.07,361.11
2.71,126.50,360.96
3.05,125.11,359.61
3.05,124.97,363.99
3.05,124.82,364.89
3.05,124.67,369.43
3.05,124.72,377.34
3.39,131.80,381.40
3.05,138.89,383.34
11.18,145.97,389.75
19.88,153.51,401.14
31.67,156.41,409.12
23.58,159.32,415.84
59.96,140.11,421.39
91.44,143.63,442.80
122.78,143.52,451.69
140.87,143.42,459.02
163.54,165.27,464.38
209.79,208.65,337.06
242.92,202.66,338.11
266.43,196.68,340.16
279.25,190.69,338.37
317.21,184.89,324.40
361.72,184.76,323.38
276.96,184.62,323.60
407.67,184.49,322.24
416.67,184.32,321.54
429.71,185.84,318.19
442.35,187.35,316.23
449.06,188.87,311.37
461.40,190.56,304.10
488.76,191.22,301.22
463.42,191.88,298.97
470.25,192.55,296.72
469.09,193.31,309.65
464.63,195.58,311.86
473.55,197.85,316.97
460.17,200.11,318.35
423.19,202.56,316.21
434.96,202.08,315.47
427.65,201.61,318.24
459.30,201.13,316.56
420.96,200.85,315.04
391.90,201.56,319.76
353.96,202.27,321.34
398.35,202.98,325.15
279.12,203.71,330.32
270.70,203.74,331.76
102.65,160.16,483.16
174.87,138.37,484.68
84.89,138.18,480.78
94.79,138.22,484.42
43.49,138.26,481.76
48.29,138.29,482.99
54.19,138.24,475.25
51.40,138.49,477.18
27.57,138.74,478.74
10.70,138.99,480.68
4.25,138.49,472.91
0.33,138.34,472.46
0.33,138.18,472.66
0.33,138.03,472.25
0.66,137.22,464.92
0.66,138.25,461.85
0.66,139.28,492.92
0.66,140.31,458.33
0.99,140.88,448.90
0.99,141.75,444.92
0.99,142.62,442.42
0.99,143.49,438.36
1.34,144.62,430.57
1.34,144.42,427.03
1.34,144.23,421.42
1.34,144.03,416.35
1.68,144.21,421.85
1.68,144.21,416.29
1.68,144.21,408.38
1.68,144.21,398.27
